Dheed|326|5|Mosphoran Highwaste|Skyreach Ridge|49|Leathern Trophy|Mirage Vest||https://finalfantasy.fandom.com/wiki/Dheed
Tarasque|327|3|Tchita Uplands|Garden of Life's Circle|37|Horn, Solid Horn|Hunting Crossbow|Frog Oil|https://finalfantasy.fandom.com/wiki/Tarasque_(Final_Fantasy_XII)
Aeros|328|2|Ozmone Plain|The Shred|23|Crooked Fang, Wyvern Fang|Wyvern Wing|Ashura|https://finalfantasy.fandom.com/wiki/Aeros_(Final_Fantasy_XII)
Grimalkin|329|5|Tchita Uplands|Uazcuff Hills|38|Whiskered Trophy|Coeurl Whisker||https://finalfantasy.fandom.com/wiki/Grimalkin_(Final_Fantasy_XII)
Terror Tyrant|330|5|Dalmasca Estersand|Broken Sands|50|Hide-covered Trophy|Scathe Mote||https://finalfantasy.fandom.com/wiki/Terror_Tyrant
Nekhbet|331|5|Dalmasca Estersand|Sand-swept Naze|5|Small Feather, Wizard's Hat|Rainbow Egg|Small Feather|https://finalfantasy.fandom.com/wiki/Nekhbet
Abelisk|332|5|Ridorana Cataract|Echoes from Time's Garden|49|Reptilian Trophy|Eight-fluted Pole||https://finalfantasy.fandom.com/wiki/Abelisk_(Final_Fantasy_XII)
Glaring Eye|333|5|Henne Mines|Phase 2 Shaft|64|Glass Jewel, Sweep|Ambrosia||https://finalfantasy.fandom.com/wiki/Glaring_Eye
Dustia|334|3|Dalmasca Westersand|Corridor of Sand|17|Book of Orgain, Flame Staff|Book of Orgain-Mille|Capricorn Gem|https://finalfantasy.fandom.com/wiki/Dustia
Cultsworn Lich|335|5|The Tomb of Raithwall|Southfall Passage|20|Glass Jewel, Sky Jewel|Loxley Bow|Death Powder|https://finalfantasy.fandom.com/wiki/Cultsworn_Lich
Ishteen|336|5|Barheim Passage|The Zeviah Span|43|Bony Trophy|Soul of Thamasa||https://finalfantasy.fandom.com/wiki/Ishteen
Evil Spirit|337|5|The Great Crystal|XIX Teleporter|61|Glass Jewel, Gungnir|Lifewick||https://finalfantasy.fandom.com/wiki/Evil_Spirit_(Final_Fantasy_XII)
Vorres|338|5|Necrohol of Nabudis|Hall of the Ivory Covenant|49|Gravesoil Trophy|Soul Powder||https://finalfantasy.fandom.com/wiki/Vorres
Juggernaut|339|4|The Feywood|White Magick's Embrace|46|Lumber, White Mask|Mystletainn||https://finalfantasy.fandom.com/wiki/Juggernaut_(Final_Fantasy_XII)
Negalmuur|340|1|Stilshrine of Miriam|Ward of the Sword-King|31|Book of Orgain, Vanishga Mote|Capricorn Gem|Book of Orgain-Mille|https://finalfantasy.fandom.com/wiki/Negalmuur
Molen|341|4|Zertinan Cavern|Hourglass Basin|38|Iron Ore, Gigas Chestplate|Mythril||https://finalfantasy.fandom.com/wiki/Molen
Larva Eater|342|1|Giruvegan - The Great Crystal|XIII and XIV Teleporters|47|Demon Eyeball, Mina|Scorpio Gem||https://finalfantasy.fandom.com/wiki/Larva_Eater
Tower|343|5|Pharos - Third Ascent|Spire Ravel - 2nd Flight|59|Solid Stone, Grand Helm|Einherjarium||https://finalfantasy.fandom.com/wiki/Tower_(Final_Fantasy_XII)
Arioch|344|5|Nabreus Deadlands|The Slumbermead|47|Vengeful Trophy|Sage's Ring||https://finalfantasy.fandom.com/wiki/Arioch_(Final_Fantasy_XII)
Grey Molter|345|4|Mosphoran Highwaste|Empyrean Way|34|Snake Skin, Prime Tanned Hide|Aries Gem|Serpent Eye|https://finalfantasy.fandom.com/wiki/Grey_Molter
Fideliant|346|5|Dalmasca Westersand|The Midfault|18|Bone Fragment, Heavy Lance|Capricorn Gem|Broken Spear|https://finalfantasy.fandom.com/wiki/Fideliant
Midgardsormr|347|5|Golmore Jungle|Paths of Chained Light|24|Snake Skin, Sakura-saezuri|Great Serpent's Fang|Prime Tanned Hide|https://finalfantasy.fandom.com/wiki/Midgardsormr_(Final_Fantasy_XII)
Crystal Knight|348|1|Giruvegan - The Great Crystal|XX Teleporter|61|Skull Trophy|Glimmering Robes||https://finalfantasy.fandom.com/wiki/Crystal_Knight
Nazarnir|349|5|Giza Plains|Starfell Field|45|Maned Trophy|Destrier Mane||https://finalfantasy.fandom.com/wiki/Nazarnir
Grave Lord|350|3|Golmore Jungle|The Rustling Chapel|24|Bone Fragment, Diamond Helm|Death's Head|Blood-darkened Bone|https://finalfantasy.fandom.com/wiki/Grave_Lord
Victanir|351|5|Nam-Yensa Sandsea|Yellow Sands|46|Maverick Trophy|Wargod's Band||https://finalfantasy.fandom.com/wiki/Victanir
Zombie Lord|352|4|The Tomb of Raithwall|Northfall Passage|38|Soulless Trophy|Close Helmet||https://finalfantasy.fandom.com/wiki/Zombie_Lord
Gemhorn|353|2|Lhusu Mines|Site 11|45|Tanned Hide, Great Axe|Slaven Harness||https://finalfantasy.fandom.com/wiki/Gemhorn
Drowned|354|5|Garamsythe Waterway|No. 4 Cloaca Spur|40|Foul Flesh, Scathe Mote|Forbidden Flesh||https://finalfantasy.fandom.com/wiki/Drowned
Luxoliid|355|5|Pharos - Subterra|Umbra - South|52|Pebble, Elixir|Staff of the Magi||https://finalfantasy.fandom.com/wiki/Luxollid
Velelu|356|3|Nabreus Deadlands|The Fog Mutters|46|Foul Flesh, Save the Queen|Capricorn Gem||https://finalfantasy.fandom.com/wiki/Velelu
Vagrant Soul|357|5|Pharos - Subterra|Abyssal - North|52|Pebble, Elixir|Eight-fluted Pole||https://finalfantasy.fandom.com/wiki/Vagrant_Soul_(Final_Fantasy_XII)
Disma|358|5|Lhusu Mines|Site 5 & Site 6 South|59|Accursed Trophy|Mirage Vest||https://finalfantasy.fandom.com/wiki/Disma
Imdugud|359|4|Nam-Yensa Sansea|Withering Shores|17|Large Feather, Windslicer Pinion|Shielded Armor|White Incense|https://finalfantasy.fandom.com/wiki/Imdugud_(Final_Fantasy_XII)
Ancbolder|360|2|Paramina Rift|Karydine Glacier|29|Mind Trophy|Forbidden Flesh||https://finalfantasy.fandom.com/wiki/Ancbolder
Bull Chocobo|361|5|OgirYensa Sandsea|South Tank Approach|47|Beaked Trophy|Hi-Ether||https://finalfantasy.fandom.com/wiki/Bull_Chocobo_(Final_Fantasy_XII)
Wendice|362|3|Sochen Cave Palace|Destiny's March|38|Frigid Trophy|Gemini Gem||https://finalfantasy.fandom.com/wiki/Wendice
Skullash|363|5|Phon Coast|Cape Tialan|37|Clawed Trophy|Charger Barding||https://finalfantasy.fandom.com/wiki/Skullash
Anchag|364|2|Paramina Rift|Karydine Glacier|29|Festering Flesh, Obelisk|Damascus Steal|Forbidden Flesh|https://finalfantasy.fandom.com/wiki/Anchag_(Final_Fantasy_XII)
Myath|365|1|Stilshrine of Miriam|Ward of Ventilation|42|Eternal Trophy|Leo Gem||https://finalfantasy.fandom.com/wiki/Myath_(Final_Fantasy_XII)
Bluesang|366|5|Cerobi Steppe|Crossfield|42|Cruel Trophy|Damascus Steel||https://finalfantasy.fandom.com/wiki/Bluesang
Helvinek|367|2|Necrohol of Nabudis|Any|48|Grimoire Togail, Grand Armor|Magick Lamp||https://finalfantasy.fandom.com/wiki/Helvinek
Avenger|368|5|Pharos - Second Ascent|Station of Ascension|61|Vile Trophy|Muramasa||https://finalfantasy.fandom.com/wiki/Avenger_(Final_Fantasy_XII_enemy)
Pallicant|369|2|Ridorana Cataract|City of Other Days|48|Grimoire Togail, Scorpio Gem|Gastrophetes|Snowfly|https://finalfantasy.fandom.com/wiki/Pallicant
Alteci|370|3|Zertinan Cavern|The Undershore|41|Fell Trophy|Behemoth Steak||https://finalfantasy.fandom.com/wiki/Alteci_(Final_Fantasy_XII)
Phyllo|371|5|Golmore Jungle|The Branchway|24|Bat Fang, Spiral Incisor|Taurus Gem|Ras Algethi|https://finalfantasy.fandom.com/wiki/Phyllo
Urutan Exile|372|2|Ogir-Yensa Sandsea|Platform 2 - Refinery|17|Earth Stone, Osafune|Hi-Potion|Pebble|https://finalfantasy.fandom.com/wiki/Urutan_Exile
